Country: IL, city: Tel Aviv
08/12/2018 23:39:28.383,!Min servo power Vbat....SPV: 3.7    [0.0   /3.5   /5.0   ]
08/12/2018 23:39:28.395,!External Bat. Enable....XBT: 0      [0     /0     /1     ]
08/12/2018 23:39:28.407,!Trigger Delay...........MTD: 50     [0     /1     /30000 ]
08/12/2018 23:39:28.419,!Trigger PWM on/off......PWM: 0      [0     /1     /1     ]
08/12/2018 23:39:28.431,!Trigger PWM OFF..[usec]PSOF: 1500   [0     /1000  /2500  ]
08/12/2018 23:39:28.443,!Trigger PWM ON...[usec]PSON: 2000   [0     /1900  /2500  ]
08/12/2018 23:39:28.455,!Trigger PWM time..[sec]PSTO: 1      [0     /1     /500   ]
08/12/2018 23:39:28.467,!Write after FIRE..[sec]RCST: 60     [0     /60    /1000  ]
08/12/2018 23:39:28.479,!Destination.........[n].DST: 1000   [0     /10    /10000 ]
08/12/2018 23:39:28.491,!Use SD card.............USD: 1      [0     /1     /1     ]
08/12/2018 23:39:28.503,!Bat.check min...[100ms]BCLS: 0      [0     /20    /50    ]
08/12/2018 23:39:28.515,!Bat.check max...[100ms]BCLL: 10     [0     /30    /50    ]
08/12/2018 23:39:28.527,!Power Off/On min[100ms].POO: 40     [0     /40    /50    ]
08/12/2018 23:39:28.539,!ARM/DIS 1 dur.  [100ms]ADFD: 5      [0     /5     /50    ]
08/12/2018 23:39:28.551,!ARM/DIS 2 dur.  [100ms]ADSD: 20     [0     /15    /50    ]
08/12/2018 23:39:28.563,!ARM/DIS 3 dur.  [100ms]ADTD: 50     [0     /50    /50    ]
08/12/2018 23:39:28.575,!Approve UFW dur.[100ms].UF08/12/2018 23:39:28.629,!LOG File...................: LOG_56_.CSV Free: 8.0 MB from: 15.7 MB
08/12/2018 23:39:28.641,!KF process_noise........PNO: 0.2    [0.0   /0.2   /1000.0]
08/12/2018 23:39:28.652,!KF sensor_noise.........SNO: 32.0   [0.0   /32.0  /1000.0]
08/12/2018 23:39:28.664,!KF estimated_error......ESR: 100.0  [0.0   /100.0 /1000.0]
08/12/2018 23:39:28.676,!KF initial_value........INV: 0.0    [0.0   /0.0   /1000.0]
08/12/2018 23:39:28.688,!MF beta.................BET: 0.3    [0.0   /0.3   /1000.0]
08/12/2018 23:39:28.700,!MF sampleRate...........SMR: 10.0   [0.0   /10.0  /1000.0]
08/12/2018 23:39:28.712,!MF magnetic inclination.INC: 3.5    [0.0   /3.5   /1000.0]
08/12/2018 23:39:28.736,!Mode....................TRG: 1      [0     /1     /2     ] 0-Manual TRG/1-Auto TRG/2-Maintenance mode
08/12/2018 23:39:28.748,!Mode.......................: Auto triggering
08/12/2018 23:39:28.770,!Attitude check......[IMU+1]: DISABLED
08/12/2018 23:39:28.781,!Freefall detection..[IMU+2]: ENABLED
08/12/2018 23:39:28.792,!Freefall duration..[ms].FFC: 1000   [0     /200   /30000 ] round to 10 ms
08/12/2018 23:39:28.804,!Freefall limit..[m/s^2].FFL: 3.0    [0.1   /8.0   /9.0   ]
08/12/2018 23:39:28.815,!Attitude rate check [IMU+4]: ENABLED
08/12/2018 23:39:28.827,!Angular Speed.[deg/sec]ATRL: 150.0  [50.0  /150.0 /300.0 ] Roll/Pitch Rate Limit
08/12/2018 23:39:28.840,!Angular Speed.....[deg].ATR: 35.0   [15.0  /35.0  /65.0  ] Roll/Pitch Att  Limit
08/12/2018 23:39:28.852,!YAW  - Rate Lim...[d/s].YRL: 350.0  [50.0  /350.0 /500.0 ]
08/12/2018 23:39:28.863,!Height limit check.[IMU+32]: ENABLED
08/12/2018 23:39:28.875,!Height Lim..........[m].HGT: 1000   [30.0  /1000  /32000 ]
08/12/2018 23:39:28.898,!Main battery...............: OK   - 	4.2V > 3.1V MCV
08/12/2018 23:39:28.899,!Power 5V...................: OK - 	5.0V > 3.5V EC_5V_LOW
08/12/2018 23:39:28.900,!Capacitor V DISARMed.......: OK - 	0.07V < 4.0V
08/12/2018 23:39:29.497,!Orientation................: OK.
08/12/2018 23:39:29.505,!Trigger servo power........: ON
08/12/2018 23:39:29.510,!Initialization.............: Finished successfully. -0.3
08/12/2018 23:39:29.512,!System.....................: IDLE
08/12/2018 23:39:29.524,!Battery....................: Charging. 4.2V
08/12/2018 23:39:29.525,Gyroscope data[deg/sec],,,Accelerometer data [m/s^2],,,Absolute Acc.[m/s^2],Magnetometer data [µT],,,Barometer data altitude, Pressure,Number of SenseAir message,Pitch,Roll,Yaw,Status of device,Main battery,Fire pulse width

EOF